PubchemID	Cluster
2099	4
3108	4
3055	4
3011155	4
151166	4
3052776	4
5468	4
657131	4
448220	4
72271	4
441123	4
449555	4
70931	4
6327654	4
644175	4
448632	4
444215	4
446386	4
6131	4
57030	4
33042	4
17754209	4
151170	4
5289535	4
439846	4
5327077	4
3016416	4
40326	4
6912404	4
9955116	4
213053	4
160355	4
9838022	4
131682	4
5709	4
2366	4
3080	4
263366	4
10308106	4
107970	4
11556711	4
57379345	4
25151504	4
162955	4
3086401	4
5457	4
11965427	4
443380	4
44631912	4
11404337	4
23951	4
143	4
1972	4
3063	4
3171	4
3687	4
3890	4
5064	4
5645	4
5731	4
8197	4
19090	4
25959	4
42395	4
47640	4
60754	4
62816	4
65014	4
65840	4
71348	4
72938	4
123597	4
123620	4
208920	4
489129	4
5360237	4
6850789	4
11947681	4
16126651	4
16129616	4
16129617	4
16129632	4
16129665	4
16129672	4
16129682	4
16129701	4
16129703	4
16130199	4
16131310	4
16132265	4
16132283	4
16132418	4
16132438	4
16132441	4
16132446	4
16134956	4
16137271	4
16139342	4
16139605	4
16156130	4
16158207	4
17754772	4
24846132	4
24950485	4
25074886	4
44134877	4
44146714	4
44201342	4
44564722	4
44567678	4
3680	4
9860058	4
24970412	4
25102846	4
446124	5
446662	5
446277	5
4196	6
71398	6
6436135	6
3157	6
441401	6
3333	6
157920	6
3305	6
2893	6
11291932	6
5388906	6
4578	6
2021	6
2791	6
2909	6
3375	6
3379	6
3381	6
3392	6
4271	6
54786	6
6433119	6
21630	6
34058	6
54695768	7
5289507	7
961704	7
23690938	7
5106	8
4211	8
41693	8
9552079	8
446824	8
13017	8
445309	8
6419228	8
5288113	8
68802	8
11677589	8
3872	8
439811	9
17753777	9
6102824	9
49852292	10
4993	10
2368	10
20279	10
44257	10
444031	10
2554	10
31378	10
3393	10
3440	10
4510	10
4873	10
5280980	10
3827	10
5078	10
5991	10
3749	10
4054	10
5379	10
4891	10
5311181	10
11876263	10
10607	10
4932	10
66265	10
31101	10
5002	10
17134	10
5462222	10
5875	10
516892	10
3003157	10
3380	10
3678	10
444719	10
5289076	10
5289037	10
449606	10
222528	10
159738	10
854026	10
6918537	10
53708	10
5310939	10
71364	10
216235	10
4101	10
1510981	10
