PubchemID,Cluster
135403661,28
5327110,28
984170,28
46937093,28
11608401,28
16129582,28
24820112,28
16739331,28
24905153,28
24905152,28
9999276,28
447700,28
10150441,28
130804,28
4747355,28
9991833,28
21066096,28
10249180,28
10317619,28
10249182,28
44629554,28
6857691,29
132302,29
5287470,29
22479942,29
24963036,29
11696113,29
23586040,29
2765355,29
76098,29
9547935,30
2883,30
34633,30
5775,30
2244,30
679,30
54684589,30
9700,30
449159,30
446399,30
16028,30
46936368,30
17753820,30
447030,30
445575,30
447508,30
46936965,30
1523687,30
4528,30
5335,30
46937075,30
11493598,30
24893974,30
135566322,30
46937133,30
14611919,30
121750,30
25229537,30
447732,31
2372,31
4469994,31
7464,31
449125,31
1829,31
125132,31
5289613,31
5288266,31
165151,31
657098,31
46936628,31
444581,31
448573,31
5459861,31
445375,31
12308870,31
445018,31
46936909,31
46936918,31
44462678,31
5497056,31
439750,31
14925,31
5494414,31
5288103,31
10280,31
3604,31
3011155,32
25074887,32
6013,32
3675,32
5281672,32
46936658,32
163626,32
25134249,32
11556711,32
2737071,33
15130,33
60787,33
5287463,33
4622,33
25134252,33
16122634,33
9824580,33
46936366,34
3762,34
2724385,34
443872,34
5625,34
47965,34
147912,34
656652,34
9427,34
5289424,34
4290,34
65241,34
136005188,34
6918289,34
656913,34
135521746,34
46937137,34
447531,35
3324,35
3658,35
46936229,35
136122637,35
136107935,35
46936467,35
3744,35
46936500,35
5287989,35
446382,35
444863,35
46936808,35
446411,35
445840,35
135460987,35
3543,35
46937003,35
5289215,36
2153,36
60855,36
22419,36
94599,36
24180722,36
444031,37
135400182,37
123631,37
9878,37
564,37
135413536,37
65016,37
4510,37
3152,37
4932,37
66265,37
14584,37
62436,37
28204,37
3998,37
51634,38
1046,38
4064,38
5355,38
6256,38
4893,38
60835,38
41684,38
3961,38
6646,38
34312,38
4762,38
54682461,38
2802,38
4927,38
4449,38
3463,38
2968,38
4456,38
5284553,38
6077,38
21855,38
5281613,38
446504,39
2811,39
449120,39
17749728,39
4184,40
4679,40
4909,40
5745,40
17754396,40
31307,41
447656,42
5245,42
10517,42
2144,42
41987,42
122077,42
6914568,42
25113126,42
25174101,42
135525416,42
4369497,42
9549303,42
44563262,42
763936,42
4858,42
5289417,42
15942655,43
446156,43
444,43
72194,43
46936378,43
5288251,43
5723,43
65258,43
3991,43
8193,43
24941248,43
5276507,43
123982,43
24905142,43
6852209,43
46937129,43
42647297,43
23659732,43
4462,43
5327159,44
137629174,44
7970,45
91867,45
210332,45
5287652,45
448285,45
165323,45
24812721,45
2893,46
34040,46
2833,46
657085,47
30323,47
132519,47
6101,47
5287469,47
444406,48
3647,48
4761,48
11579,48
8631,48
23647763,48
10114365,48
5289474,48
16750059,49
6914629,49
216235,50
6834,50
42611257,50
3406,51
3958,51
21704,51
5344,51
135398745,51
3883,51
241903,51
5361092,51
5311017,51
135398739,51
19003,51
17676,51
5284604,51
441341,51
3033053,51
439213,51
28486,51
12460,51
15991546,51
44112,51
5773,51
2141,52
8515,52
136254578,52
46936624,52
24941253,52
21066087,53
54678486,53
445993,53
1759,53
10258,53
6540299,53
40467016,53
46937158,53
46936741,54
131624,54
1282,54
16842,54
46936262,54
688097,54
1505,54
657073,54
132213,54
4630909,54
46936587,54
11852,54
136254597,54
447638,54
378,54
656965,54
7023019,54
11586735,54
23657800,54
23727982,54
15083623,55
4362,55
13023332,55
5288002,56
213039,56
135431463,56
22690393,56
23270857,57
6049,57
9642,57
4775,57
107971,57
448249,57
135566361,57
10401956,57
32594,58
4848,58
439246,58
5289294,58
46937078,58
5288257,58
11633167,58
449241,58
448650,59
119,59
5287429,59
242332,59
5287870,59
10267580,59
24978486,59
11779786,59
62867,60
4173,60
9429,60
447256,60
23653514,60
46937089,60
24875313,60
15942673,60
446345,60
4642,61
4055,61
3487,61
46936526,61
46936648,61
446054,61
46936903,61
444972,61
135564980,61
24941258,61
9543486,61
5287955,61
194777,61
11691442,62
6083,62
5311067,62
448661,62
46936388,62
123648,62
3710,62
5287850,62
46936602,62
25200860,62
243,62
440005,62
447959,62
445892,62
181426,62
24778299,62
10822243,62
448258,62
87517,63
54454,63
444033,63
175468,63
17753849,63
1604,63
72886,63
25113128,63
135457822,63
24812719,63
5281701,63
11840968,63
6852201,63
16122642,63
46937081,64
216326,64
4616,64
46936777,64
447482,64
11602832,64
4369568,64
11987804,64
6102820,65
1540,65
6102821,65
6540255,65
3383616,65
1700,65
11524144,65
11963512,65
941361,66
46936569,66
25134250,66
25134251,66
16741238,66
446665,67
493570,67
5280793,67
14969,67
5359272,67
3371,67
46936356,67
25322948,67
445995,67
447502,67
4797,67
65063,67
5288598,67
6951123,67
15991574,67
10178705,67
8420,67
46936670,68
447805,68
444612,68
447731,68
13017,68
46936737,68
46936755,68
5289339,68
5287902,68
446916,68
5289086,68
17759780,68
137628959,68
4369433,68
5494422,68
24856363,68
42628060,68
444394,68
46936387,69
10156987,69
439153,70
667484,70
445756,70
643330,70
46937105,70
16040323,71
439825,71
5287979,71
75846,71
445481,71
72396,72
15606,72
128600,72
967,72
135488878,72
46936382,72
46936411,72
189150,72
445967,72
46936468,72
14253,72
448658,72
8758,72
447336,72
46936835,72
6327350,72
136254610,72
46936223,73
135398737,73
3468,73
62959,73
4469371,73
439168,73
10376202,73
90334,73
448965,73
46936503,73
3802528,73
136107932,73
5172,73
46936966,73
31721,74
65856,74
5311000,74
5746,74
3295,74
24244,74
23724781,74
3869,74
5587,74
26879,74
65863,74
4601,74
60919,74
2164,74
6464,74
6473,74
448942,74
26987,75
46936728,75
444570,76
305,76
439202,76
118458,76
84704,76
1746,76
12793,76
69020,76
8761,76
46936822,76
5288799,76
5413,76
4369172,77
6540428,77
3117,77
54682938,77
446238,77
16741245,77
15689,78
46936187,78
657081,78
4369379,78
46936625,78
10132,78
5005498,78
15648788,78
4633,79
5487313,80
119570,80
5311052,80
7099,80
25138294,81
16224058,81
5413034,81
4592,82
6857688,82
3540,82
11494891,82
4883,83
60606,83
3488,83
5358,84
10548,84
4849,84
16040289,84
446346,84
5906,85
2678,85
62816,85
392622,85
5593,85
73425376,85
36314,85
33625,85
5440,86
447364,87
5289336,87
46936617,87
5289415,87
79034,87
445843,87
46936865,87
10157080,87
448002,87
11963552,87
1587957,87
446744,87
449242,87
449243,87
447739,88
32017976,88
1331,88
124969,88
5326866,88
1184681,88
24836811,89
44120114,89
1543,89
69672,89
46936765,89
10450114,89
16058637,89
10379137,89
25271580,89
11460087,89
444853,90
26934,90
2761815,90
5326884,90
5326885,90
5326886,90
25150856,90
15942657,90
15942658,90
10172943,90
11675645,90
25243828,90
24883486,90
9865528,90
6439470,91
135398744,91
2266,91
4369446,92
133021,92
93114,92
1694,93
16122638,93
6419766,93
23653532,93
5288147,94
4507,94
261000,94
17150,95
5288826,95
175805,95
129211,95
4781,95
702,95
4828,95
2083,95
4756,95
62751,95
135559087,95
6324661,96
4192,96
5394,97
3182,97
6196,97
2361,97
24864082,98
9543437,98
6420149,98
24864077,98
24864078,98
24864079,98
46937106,99
68205,100
5732,100
11574606,100
891831,100
11840930,101
24812717,101
24768548,102
1195,102
46937052,102
9547915,102
501640,102
92180,102
151075,103
5790,103
447815,103
3952261,103
1894,103
448271,103
10174090,103
5287789,103
10204,103
1881,103
5488548,104
53627486,104
4999,104
46936557,104
104625,104
2901,104
9822610,104
10324367,105
111509,106
60714,106
7029,106
39147,106
1800,106
445770,106
60594,106
6540623,107
448748,107
447742,107
6027,107
447341,107
46936776,107
178051,107
903,107
5494385,107
46936585,108
4636594,108
46936242,108
2403,108
8094,108
3311411,108
40489058,108
46936647,108
46936709,108
5288606,108
5287834,108
1707,109
5546,109
448940,109
16682734,110
4649,110
60953,110
3690,110
2729,111
84088,111
5379,111
6793,111
136254613,111
3518,112
4167,112
6432,112
6380,112
135678094,112
5326868,112
2157,113
36462,113
4636,114
4121,114
56959,114
5755,114
5966,114
135415790,114
449193,114
14309,114
46936193,114
3102,114
461278,114
25163987,114
73425384,115
8226,115
27447,115
9568614,115
4680,115
4763,115
2966,115
2200,115
119828,116
8408,117
448953,117
11522441,117
6102824,117
24941254,118
24836813,119
3534,119
708346,119
5330197,119
9956726,120
11554165,121
447961,121
62891,121
46937152,121
2742752,121
135566336,121
45358412,121
9968957,122
2123,122
11495704,122
440053,123
5362440,123
5280961,123
6323221,123
379,123
6852168,123
5287465,124
2519,124
152946,124
71616,124
1755,124
46936340,124
449088,124
1514,124
199,124
10033310,125
3676,125
3517,125
444718,125
656989,126
1060,126
447682,126
46936454,126
1933,126
115147,126
3269221,126
170018,126
2374,126
14357,126
5289112,126
24832019,126
5289348,127
1779,127
4369390,127
132706,128
4539,129
3033538,129
1989,129
2435,129
135398742,129
